"id","name","url","kind","health","functionalClass","resultTiles","importState","package","coverage","validation","limitation"
"207","来漫画（PC）","https://www.laimanhua88.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"208","来漫画网","https://m.laimanhua.org","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"209","L漫画","https://lmanhua.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"210","嬉皮漫画","https://m.hipmh.com","manga","可用","BrowseWorks","18","implementation_required",,,"not_implemented",
"212","泰拉记事社","https://terra-historicus.hypergryph.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.terrahistoricus","official_alias","device_verified",
"213","百合会","https://www.yamibo.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"214","龙王传说","https://www.longwangchuanshuo.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"224","动漫啦","http://www.dongman.la","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"229","漫画456","https://m.manhua456.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.manhua456","exact","device_verified",
"234","漫画牛","https://www.manhua666.cc","manga","可用","BrowseWorks","6","implementation_required",,,"not_implemented",
"240","爱优漫（APP）","https://getconfig-globalapi.yyhao.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"244","漫客栈","https://www.mkzhan.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"245","知音漫客","https://m.zymk.cn","manga","可用","BrowseWorks","16","implementation_required",,,"not_implemented",
"264","飞飞漫画","http://www.ffmh123.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"266","滴答漫画","http://ddmanhua.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.didamanhua","exact","device_verified",
"267","咱追漫画","http://www.zanzhui.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"284","奇妙漫画网","https://www.cxjob.com.cn","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"289","奇漫屋网","https://m.qimanwu.app","manga","可用","BrowseWorks","10","implementation_required",,,"not_implemented",
"290","36漫画","https://m.36mh.org","manga","可用","BrowseWorks","10","active_verified","eu.kanade.tachiyomi.extension.zh.manhua36","exact","device_verified",
"292","啵乐漫画","https://boysyo.cc","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"296","香香腐宅","https://boyloveheaven13.cc","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.boylove","exact_current_mirror","device_verified",
"298","言耽社","https://yandanshe.net","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"300","Vomic漫画","https://www.vomicmh.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"307","向日葵连环画","https://m.lhh1.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"308","非常爱漫","https://www.veryim.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"316","新新漫画网","https://xxmh749.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"318","肉漫画","https://www.roumanhua.net","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"319","zero搬运网","https://www.zerobyw33.com","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.zerobyw","scheme_successor","device_verified",
"320","ant搬运网","https://www.antbyw.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"327","G漫画","http://www.gmanhua.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"337","G站漫画","https://m.g-mh.org","manga","可用","BrowseWorks","18","active_verified","eu.kanade.tachiyomi.extension.zh.baozimhorg","family_mirror","device_verified",
"344","漫畫狗","https://dogemanga.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"349","动漫戏说","https://comic.acgn.cc","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"382","Rawkuma","https://rawkuma.net","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.ja.rawkuma","exact","device_verified",
"385","KissAway","https://klz9.com","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"386","MangaDex","https://mangadex.org","manga","可用","BrowseWorks","6","active_verified","eu.kanade.tachiyomi.extension.all.mangadex","exact","device_verified",
"404","LoveHug","https://weloma.art","manga","可用","BrowseWorks","20","implementation_required",,,"not_implemented",
"410","哔哩相簿","https://h.bilibili.com","gallery","可用","BrowseWorks","1","unsupported_kind",,,"not_implemented",
"417","Cosplay啦","http://ciyuandao.com/photo","gallery","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"421","唯一图库","http://www.mmonly.cc","gallery","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"424","轻小说文库（轻小说）","https://www.wenku8.cc","novel","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"425","哔哩轻漫画","https://www.bilimanga.net","manga","可用","BrowseWorks","20","active_verified","eu.kanade.tachiyomi.extension.zh.bilimanga","exact","device_verified",
"426","哔哩轻小说（轻小说）","https://m.bilinovel.com","novel","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"427","神凑轻小说（轻小说）","https://m.shencou.com","novel","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"429","香香腐宅（轻小说）","https://boyloveheaven13.cc","novel","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"430","拷贝轻小说（轻小说）","https://www.copy4000.com/h5/discover","novel","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"435","OmoFun动漫（动画）","https://www.omofuns.com","anime","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"438","MiFun动画（动画）","https://ios.mifun.org","anime","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
"440","小霸王（游戏）","https://www.yikm.net","game","可用","BrowseWorks","20","unsupported_kind",,,"not_implemented",
